Občina,Površina km2,Št. naselij,Št. prebivalcev,Moški,Ženske,0-14 let,15-64 let,65+ let,Naravni prirastek,Povprečna bruto plača,Delovno aktivno prebivalstvo,Registrirane brezposelne osebe,Število OŠ,Število osnovnošolcev,Število dijakov,Število študentov,Ustanovitev,Pokrajina,Statistična regija
Ajdovščina,245.2,45,19061,9624,9437,3178,12426,3457,56,1396.38,7414,952,14,1686,748,869,1991,Primorska,Goriška
Ankaran,8,1,3227,1575,1652,412,2195,620,-3,1451.99,1355,126,1,227,102,104,2011,Primorska,Obalno-kraška
Apače,53.5,21,3564,1771,1793,498,2454,612,-7,1294.76,1084,242,2,241,113,85,2006,Štajerska,Pomurska
Beltinci,62.2,8,8258,4120,4138,1193,5593,1472,-7,1247.09,2973,699,2,639,323,303,1994,Prekmurje,Pomurska
Benedikt,24.1,13,2506,1252,1254,433,1759,314,12,1345.98,958,99,1,245,113,93,1998,Štajerska,Podravska
Bistrica ob Sotli,31.1,11,1368,678,690,196,888,284,-5,1358.24,499,78,1,152,64,52,1998,Štajerska,Savinjska
Bled,72.3,10,7998,3925,4073,1096,5088,1814,13,1429.83,3071,283,3,589,270,315,1994,Gorenjska,Gorenjska
Bloke,75.1,45,1541,821,720,235,993,313,1,1144.14,643,80,1,124,56,78,1998,Notranjska,Notranjsko-kraška
Bohinj,333.7,24,5127,2548,2579,739,3226,1162,-10,1169.12,2020,164,2,419,192,217,1994,Gorenjska,Gorenjska
Borovnica,42.3,12,4295,2155,2140,735,2867,693,41,1363.4,1695,262,1,337,160,186,1994,Notranjska,Osrednjeslovenska
Bovec,367.3,13,3098,1522,1576,368,1978,752,-7,1400.46,1151,130,3,206,77,103,1994,Primorska,Goriška
Braslovče,55,22,5528,2789,2739,891,3622,1015,14,1355.36,2173,268,4,457,212,246,1998,Štajerska,Savinjska
Brda,72,45,5664,2804,2860,750,3706,1208,-25,1382.81,2109,183,2,382,211,220,1994,Primorska,Goriška
Brezovica,91.2,16,12017,5927,6090,2146,7789,2082,16,1312.74,4921,471,5,1220,521,506,1994,Notranjska,Osrednjeslovenska
Brežice,268.1,109,24216,11954,12262,3342,15902,4972,-55,1388.45,9061,1540,10,1893,845,927,1991,Štajerska,Spodnjeposavska
Cankova,30.6,8,1792,876,916,210,1265,317,-11,1368.6,578,168,1,142,63,68,1998,Prekmurje,Pomurska
Celje,94.9,39,49221,24483,24738,7059,32770,9392,70,1506.94,18578,3571,11,3881,1645,1853,1991,Štajerska,Savinjska
Cerklje na Gorenjskem,78,30,7532,3766,3766,1299,4959,1274,26,2348.26,3147,197,2,752,324,335,1994,Gorenjska,Gorenjska
Cerknica,241,65,11469,5794,5675,1794,7505,2170,-13,1311.81,4808,561,5,1017,439,473,1991,Notranjska,Notranjsko-kraška
Cerkno,131.5,30,4620,2367,2253,671,3066,883,8,1305.38,2098,113,3,346,194,215,1994,Primorska,Goriška
Cerkvenjak,24.5,15,2043,1074,969,297,1455,291,2,1451.11,847,81,1,169,90,60,1998,Štajerska,Podravska
Cirkulane,32.1,13,2301,1204,1097,311,1591,399,-8,1311.02,902,127,1,161,88,53,2006,Štajerska,Podravska
Črenšovci,33.7,6,3980,1968,2012,609,2720,651,-14,1311.47,1363,389,2,351,156,104,1994,Prekmurje,Pomurska
Črna na Koroškem,156,9,3324,1694,1630,382,2302,640,-7,1504.14,1226,114,3,242,95,103,1994,Koroška,Koroška
Črnomelj,339.7,122,14400,7307,7093,2091,9535,2774,-53,1312.2,5429,1432,8,1217,446,531,1991,Dolenjska,Jugovzhodna
Destrnik,34.4,17,2548,1294,1254,378,1777,393,10,1303.36,1046,113,1,246,96,90,1994,Štajerska,Podravska
Divača,145,31,3989,2073,1916,561,2688,740,3,1378.74,1658,170,3,316,111,137,1994,Primorska,Obalno-kraška
Dobje,17.5,13,987,471,516,163,659,165,2,1668.72,400,44,1,103,40,44,1998,Štajerska,Savinjska
Dobrepolje,103.1,24,3897,2007,1890,615,2551,731,-27,1221.73,1569,146,3,340,184,141,1994,Dolenjska,Osrednjeslovenska
Dobrna,31.7,11,2230,1132,1098,334,1547,349,6,1251.2,876,95,1,193,86,93,1998,Štajerska,Savinjska
Dobrova - Polhov Gradec,117.5,33,7600,3806,3794,1417,4901,1282,44,1286.58,3097,240,4,777,386,331,1994,Gorenjska,Osrednjeslovenska
Dobrovnik,31.1,3,1266,608,658,172,822,272,6,1341.91,411,135,1,94,39,40,1998,Prekmurje,Pomurska
